price,size_in_m_2,longitude,latitude,no_of_bedrooms,no_of_bathrooms,quality
3680000,239.132322,55.264588,25.200221,3,5,0
10000000,315.777297,55.28318,25.195926,4,5,1
2200000,134.430641,55.282665,25.194935,2,2,0
1820000,110.09005499999999,55.277061,25.193542,1,2,1
655888,35.30314,55.138103,25.111902,0,1,2
2300000,181.439559,55.247980000000005,25.109367,3,5,2
3200000,170.01248999999999,55.262161,25.204462,2,4,0
2175000,128.670655,55.137516000000005,25.073593,2,3,0
700000,78.595938,55.207423,25.068608,1,1,1
850000,70.513377,55.132386,25.072396,2,2,0
1066888,66.704354,55.246977,25.106147,1,1,1
2500000,125.976468,55.111349,25.106964,2,3,1
1502000,135.63838,55.20458000000001,25.056225,3,3,2
860000,167.2254,55.398644,25.123141,2,3,1
1000000,85.00624499999999,55.276951,25.186836,1,1,0
850000,50.632135,55.140317,25.077327,0,2,1
3400000,145.486098,55.282429,25.194547,2,3,1
5500000,214.60593,55.282665,25.194935,3,4,1
813000,86.864305,55.212972,25.051528,2,2,0
3399000,193.609852,55.264588,25.200221,3,4,1
1589950,120.959706,55.136982,25.073151,2,3,1
10560000,337.981114,55.126352,25.07359,4,3,1
390000,78.874647,55.218948,25.044572,1,2,1
1650000,135.452574,55.170481,25.089719,2,2,1
1200000,117.243586,55.129829,25.072791,2,2,1
5400000,420.478978,55.109525,25.112725,4,5,1
14800000,466.187254,55.126352,25.07359,5,5,2
1700000,140.190627,55.143347,25.112604,1,1,0
810000,72.371437,55.136283,25.07851,1,2,1
2350000,129.228073,55.271342,25.198796,2,3,0
3000000,73.950788,55.27886899999999,25.194282,1,2,1
920000,122.167445,55.14530799999999,25.075364,3,2,1
2000000,96.61912,55.151574,25.132519,1,2,1
1325000,106.281032,55.151201,25.106809,1,1,0
2850000,115.571332,55.269439,25.194186,2,2,1
1650000,73.579176,55.269439,25.194186,1,2,1
410000,90.02300699999999,55.21736,25.042264000000003,1,2,1
3700000,172.79958,55.188957,25.137409,3,4,1
670000,67.447578,55.203071,25.060247,1,2,0
1100000,109.811346,55.272402,25.19045,1,2,1
620000,71.256601,55.174751,25.091871,1,1,1
2000000,131.364842,55.282056,25.186477,3,3,1
662000,58.900502,55.200525,25.04675,1,2,1
1992888,79.710774,55.284162,25.196558,1,1,1
525000,52.861807,55.140806000000005,25.071246,1,1,1
1990000,144.557068,55.137997,25.075017000000003,2,2,0
767000,75.344333,55.139751,25.067137,1,2,1
1096888,60.38695,55.247341000000006,25.111798,1,1,1
749888,44.779246,55.245773,25.097805,1,1,1
900000,133.687417,55.212988,25.066013,2,3,1
575000,71.628213,55.209389,25.058746,1,2,1
1650000,183.390522,55.149275,25.106668,2,4,1
1600000,90.766231,55.145574,25.087251,1,2,0
1900000,133.408708,55.15864200000001,25.078492,2,3,1
1700000,157.377682,55.141977,25.081622,2,3,1
1150000,119.751967,55.130280000000006,25.072291,2,2,0
1200000,136.381604,55.128579,25.071504,2,3,2
1400000,80.268192,55.25658000000001,25.183133,1,2,1
875000,123.282281,55.138814,25.064767,2,3,1
640000,83.333991,55.14530799999999,25.075364,1,2,1
1150000,156.448652,55.132798,25.073156,2,2,1
1275000,75.437236,55.271449,25.195237,1,1,1
3000000,106.83845,55.269439,25.194186,2,2,0
2500000,176.5157,55.271342,25.198796,3,4,1
1450000,94.76106,55.277662,25.199782,1,1,1
949000,85.099148,55.276951,25.186836,1,1,1
880000,78.688841,55.270028,25.197262,1,2,0
1850000,151.803502,55.278772,25.212018,2,3,0
2700000,278.709,55.133627,25.076319,4,5,1
2950000,208.845944,55.136449,25.111229,3,2,0
310000,39.483775,55.19351,25.043352,0,1,0
3600000,211.725937,55.137511,25.110165,3,4,1
3999900,186.549224,55.274196,25.197316,3,4,1
410000,68.562414,55.21513100000001,25.063265,1,1,1
2100000,135.359671,55.312595,25.178369,2,3,1
1464888,80.546901,55.141699,25.100553,1,1,1
1199999,99.592016,55.132694,25.074307,1,2,1
3150000,134.523544,55.122612,25.077576,2,3,1
1150000,71.349504,55.140317,25.077327,1,1,1
925000,129.599685,55.28915799999999,25.189282,1,2,1
4500000,162.67315299999999,55.276331000000006,25.200879,2,3,1
800000,113.248757,55.148208,25.088606,2,3,1
625000,93.553321,55.216245,25.064191,2,2,1
2650000,126.812595,55.274545,25.191527,2,2,1
2400000,188.59309,55.278772,25.212018,2,3,0
2050000,160.164772,55.278772,25.212018,2,3,0
5800000,309.36699,55.278772,25.212018,3,4,1
1450000,183.01891,55.141933,25.079385,3,4,1
758500,54.81277,55.301002,25.156237,1,1,1
1051938,110.647473,55.140434,25.02462,2,3,2
7500000,682.279632,55.264953000000006,25.181115,3,5,1
600000,62.24501,55.202948,25.066484,1,2,0
14000000,294.316704,55.235827,25.215192,3,5,0
1699999,152.546726,55.170014,25.09003,2,2,2
305000,69.026929,55.40066,25.16774,1,2,0
1300000,125.976468,55.247980000000005,25.109367,2,3,0
1250000,88.629462,55.274261,25.189039,1,1,1
1250000,125.233244,55.14874,25.090418,2,3,0
2350000,234.487172,55.136701,25.11257,3,4,0
1400000,76.366266,55.14736,25.086376,1,2,1
2750000,155.519622,55.136286,25.072375,3,4,2
683001,52.118583,55.24355,25.06211,1,1,1
1690000,174.378931,55.13821899999999,25.080327,3,4,1
1450000,129.13517,55.281666,25.190874,2,2,1
2606000,121.052609,55.111349,25.106964,2,3,2
1375000,125.326147,55.171838,25.088533,2,2,0
2600000,137.031925,55.153066,25.125472,2,3,1
7649000,273.320626,55.151405,25.132021,3,4,1
480000,77.016587,55.214303,25.057252,1,2,0
2400000,140.097724,55.14925,25.084336,2,3,0
800000,48.495366,55.138542,25.074958,0,1,1
10820000,263.84452,55.276331000000006,25.200879,4,5,1
629000,97.641053,55.246714,25.046706,1,1,0
430000,73.672079,55.205661,25.042351,1,2,0
410000,73.950788,55.202774,25.058632,1,2,1
1690000,121.238415,55.170481,25.089719,2,2,0
400888,38.554745,55.154713,25.07913,0,1,1
2100000,121.888736,55.274609,25.192471,2,2,0
650000,76.644975,55.253831000000005,25.015253,1,2,1
1290000,201.878219,55.146294,25.090009,3,3,1
420000,71.349504,55.22176999999999,25.042779,1,1,1
1950000,130.99323,55.132694,25.074307,2,3,0
1600000,134.70935,55.278912,25.187093,2,3,1
685000,78.410132,55.149224,25.087926,1,1,1
1399900,71.256601,55.273056,25.190267,1,2,1
3400000,158.213809,55.280473,25.201842000000003,3,4,1
1389900,83.6127,55.26942,25.195039,1,2,0
850000,65.775324,55.128579,25.071504,1,2,0
1425000,88.25785,55.145574,25.087251,1,2,1
462888,37.347006,55.189927,25.047255,1,2,0
